SEQUENCE,MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,CLASS,OUTLIER
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp,0
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp,0
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp,0
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp,0
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp,0
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp,0
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp,0
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp,0
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp,0
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp,0
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp,0
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp,0
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp,0
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp,0
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp,0
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp,0
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp,0
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp,0
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp,0
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp,0
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp,0
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp,0
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp,0
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp,0
